| depth            | δ40/38            | δ40/36            | δ38/36            | δ40/38atm         | δ40/38atm_err  |
| 131.5            | 0.598             | 1.199             | 0.603             | -0.009            |         0.03   |
| 3000             | 0.63              | 1.268             | 0.640             | -0.013            |         0.03   |
| 3004.02          | 0.58              | 1.193             | 0.610             | -0.029            |         0.03   |
| 3008             | 0.66              | 1.293             | 0.631             |  0.030            |         0.03   |
| 3016             | 0.48              | 0.996             | 0.511             | -0.028            |         0.03   |
| 3020             | 0.64              | 1.295             | 0.655             | -0.017            |         0.03   |
| 3028             | 0.70              | 1.414             | 0.711             | -0.010            |         0.03   |
| 3036.5           | 0.58              | 1.108             | 0.599             | -0.019            |         0.03   |
| 3038             | 0.57              | 1.148             | 0.580             | -0.014            |         0.03   |
| 3042.4           | 0.940             | 1.559             | 0.618             |  0.323            |         0.03   |
| 3044.6           | 0.885             | 1.420             | 0.535             |  0.350            |         0.03   |
| 3045.29          | 0.909             | 1.457             | 0.547             |  0.361            |         0.03   |
| 3047             | 0.938             | 1.486             | 0.548             |  0.390            |         0.03   |
| 3048.8           | 0.938             | 1.410             | 0.471             |  0.467            |         0.03   |
| 3049.2           | 0.804             | 1.533             | 0.310             |  0.494            |         0.03   |
| 3051.04          | 0.945             | 1.421             | 0.475             |  0.470            |         0.03   |
| 3052.39          | 0.956             | 1.436             | 0.480             |  0.476            |         0.03   |
